file_name,ion_pot,elec_aff,homo_n,lumo_n,smiles,selfies
19343,11.96309428594581,-4.92304042025193,-0.221081,-0.068886,OC(C1=CC=C(Cl)C=C1)(C2=CC=C(Cl)C=C2)C3=CC=C(Cl)C=C3,[O][C][Branch1][N][C][=C][C][=C][Branch1][C][Cl][C][=C][Ring1][#Branch1][Branch1][N][C][=C][C][=C][Branch1][C][Cl][C][=C][Ring1][#Branch1][C][=C][C][=C][Branch1][C][Cl][C][=C][Ring1][#Branch1]
30543,12.165439363589336,-2.47856200406009,-0.197257,0.011424,CCCC[C@@H1](N)CO,[C][C][C][C][C@@H1][Branch1][C][N][C][O]
2012,12.67026137301904,-5.111858909808882,-0.220465,-0.101101,CC1=NN2N=CC=CC2=C1C(=O)O,[C][C][=N][N][N][=C][C][=C][C][Ring1][=Branch1][=C][Ring1][=Branch2][C][=Branch1][C][=O][O]
34201,11.462992296571056,-5.872743504101176,-0.192327,-0.111792,N=C1C(C(N)=O)=CC=2C(=O)N3C=CC=CC3=NC=2N1CC4=CC=CC=C4,[N][=C][C][Branch1][=Branch1][C][Branch1][C][N][=O][=C][C][C][=Branch1][C][=O][N][C][=C][C][=C][C][Ring1][=Branch1][=N][C][=Ring1][O][N][Ring2][Ring1][C][C][C][=C][C][=C][C][=C][Ring1][=Branch1]
21637,13.64881845703935,-5.658044088231284,-0.229603,-0.122754,O=CC1=CC=C(C(F)(F)F)C=C1F,[O][=C][C][=C][C][=C][Branch1][=Branch2][C][Branch1][C][F][Branch1][C][F][F][C][=C][Ring1][#Branch2][F]
6243,12.863631446543444,-6.628093108876191,-0.224576,-0.117452,CC(=O)NCC1=CC=C(S(=O)(=O)Cl)C=C1,[C][C][=Branch1][C][=O][N][C][C][=C][C][=C][Branch1][=Branch2][S][=Branch1][C][=O][=Branch1][C][=O][Cl][C][=C][Ring1][#Branch2]
12267,12.637361913467496,-6.738827457036648,-0.225245,-0.097321,CC(=O)[C@H1](Br)[C@H1](Br)C1=CC=CC=C1,[C][C][=Branch1][C][=O][C@H1][Branch1][C][Br][C@H1][Branch1][C][Br][C][=C][C][=C][C][=C][Ring1][=Branch1]
23722,11.9763928458602,-4.724944068149987,-0.209061,-0.065851,C[C@H1](C(=O)O)C1=CC=C(C2=CC=CC=C2)C(F)=C1,[C][C@H1][Branch1][=Branch1][C][=Branch1][C][=O][O][C][=C][C][=C][Branch1][=Branch2][C][=C][C][=C][C][=C][Ring1][=Branch1][C][Branch1][C][F][=C][Ring1][=N]
23102,12.755986091090978,-4.91165588208007,-0.214752,-0.092194,O=C(O)C1=CC=CC(F)=C1O,[O][=C][Branch1][C][O][C][=C][C][=C][C][Branch1][C][F][=C][Ring1][#Branch1][O]
12582,12.7459006060564,-6.10523836972736,-0.234285,-0.109812,ClC1=C(Br)C(Br)=C(Cl)C(Br)=C1Br,[Cl][C][=C][Branch1][C][Br][C][Branch1][C][Br][=C][Branch1][C][Cl][C][Branch1][C][Br][=C][Ring1][#Branch2][Br]
