file_name,ion_pot,elec_aff,homo_n,lumo_n,smiles,selfies
6929,12.241036419564889,-5.070352066742859,-0.226566,-0.07823,CC1=CC(Br)=CC(S(=O)(=O)NCC2=CC=CC=C2)=C1,[C][C][=C][C][Branch1][C][Br][=C][C][Branch2][Ring1][C][S][=Branch1][C][=O][=Branch1][C][=O][N][C][C][=C][C][=C][C][=C][Ring1][=Branch1][=C][Ring2][Ring1][C]
28485,12.103669305149747,-3.930124363650558,-0.20025,-0.054879,CC(=O)NC1=CC=CC=C1O,[C][C][=Branch1][C][=O][N][C][=C][C][=C][C][=C][Ring1][=Branch1][O]
28699,11.410348263309029,-3.945827287529767,-0.196525,-0.047625,CCCCCCCC(=O)NC1=CC=C(OCC)C=C1,[C][C][C][C][C][C][C][C][=Branch1][C][=O][N][C][=C][C][=C][Branch1][Ring2][O][C][C][C][=C][Ring1][=Branch2]
29573,11.789347152961298,-4.903545915638025,-0.189863,-0.096203,CN(C)CC1=CC=CC(C=O)=C1,[C][N][Branch1][C][C][C][C][=C][C][=C][C][Branch1][Ring1][C][=O][=C][Ring1][Branch2]
25398,10.513094926176176,-5.0414017396358135,-0.175271,-0.075109,O[C@@H1](CN1CCN(C2=CC=C(F)C=C2)CC1)CN3C4=CC=C(Br)C=C4C5=CC(Br)=CC=C53,[O][C@@H1][Branch2][Ring1][#Branch1][C][N][C][C][N][Branch1][N][C][=C][C][=C][Branch1][C][F][C][=C][Ring1][#Branch1][C][C][Ring1][=N][C][N][C][=C][C][=C][Branch1][C][Br][C][=C][Ring1][#Branch1][C][=C][C][Branch1][C][Br][=C][C][=C][Ring1][#Branch1][Ring1][#C]
28850,11.662113959162042,-4.84534403562843,-0.193553,-0.071034,CC1=CC=CC(C(=O)NC2=CC=CC=C2C(C)C)=C1,[C][C][=C][C][=C][C][Branch2][Ring1][Ring1][C][=Branch1][C][=O][N][C][=C][C][=C][C][=C][Ring1][=Branch1][C][Branch1][C][C][C][=C][Ring2][Ring1][C]
15064,13.032645770289763,-2.2974567445706398,-0.256239,0.024824,CCCCC[C@@H1](C)CCC,[C][C][C][C][C][C@@H1][Branch1][C][C][C][C][C]
29875,11.923959969961722,-3.030409247359209,-0.195677,-0.00233,CCCCCCCCCCCC(=O)N(CCCC)CCCC,[C][C][C][C][C][C][C][C][C][C][C][C][=Branch1][C][=O][N][Branch1][Branch1][C][C][C][C][C][C][C][C]
25864,11.957233308649789,-5.699407529331103,-0.202288,-0.08711,NC1=C(I)C=C(C(=O)O)C(O)=C1I,[N][C][=C][Branch1][C][I][C][=C][Branch1][=Branch1][C][=Branch1][C][=O][O][C][Branch1][C][O][=C][Ring1][O][I]
12778,12.143350834344837,-4.86632861461503,-0.203315,-0.091868,COC1=CC(Br)=C(C=O)C=C1O,[C][O][C][=C][C][Branch1][C][Br][=C][Branch1][Ring1][C][=O][C][=C][Ring1][=Branch2][O]
23164,12.624204578640676,-4.749164579249778,-0.206053,-0.060252,FC1=CC=CC(F)=C1CS,[F][C][=C][C][=C][C][Branch1][C][F][=C][Ring1][#Branch1][C][S]
22191,14.202193325880735,-5.564374030267967,-0.269451,-0.116063,FC(F)(F)C1=NC(Cl)=CC(Cl)=N1,[F][C][Branch1][C][F][Branch1][C][F][C][=N][C][Branch1][C][Cl][=C][C][Branch1][C][Cl][=N][Ring1][Branch2]
12066,11.885951100939495,-5.034440077379732,-0.206024,-0.079646,CC1(C)OB(C2=CC=C(C3=CC=C(F)C=C3)N=C2)OC1(C)C,[C][C][Branch1][C][C][O][B][Branch2][Ring1][=Branch1][C][=C][C][=C][Branch1][N][C][=C][C][=C][Branch1][C][F][C][=C][Ring1][#Branch1][N][=C][Ring1][=N][O][C][Ring2][Ring1][Ring1][Branch1][C][C][C]
21190,11.934692804689403,-4.630119175355525,-0.202974,-0.073502,FC(F)(F)C1=NN=C(N2CCNCC2)S1,[F][C][Branch1][C][F][Branch1][C][F][C][=N][N][=C][Branch1][=Branch2][N][C][C][N][C][C][Ring1][=Branch1][S][Ring1][O]
32386,12.669010755459972,-4.966937205459892,-0.214019,-0.095287,CC1=CC(C)=NC(C(=O)O)=N1,[C][C][=C][C][Branch1][C][C][=N][C][Branch1][=Branch1][C][=Branch1][C][=O][O][=N][Ring1][#Branch2]
4486,11.456938665399974,-3.984107994439543,-0.177216,-0.055525,CC1=NC=2[NH1]C=NC=2C=C1N,[C][C][=N][C][NH1][C][=N][C][=Ring1][Branch1][C][=C][Ring1][=Branch2][N]
13698,11.56679273771745,-4.5669287027090055,-0.187074,-0.049501,BrC1=CC=C2C(C=CN2CC3=CC=CC=C3)=C1,[Br][C][=C][C][=C][C][Branch1][#C][C][=C][N][Ring1][Branch1][C][C][=C][C][=C][C][=C][Ring1][=Branch1][=C][Ring1][S]
1889,12.28175686474125,-4.925703560827858,-0.209591,-0.08713,COC=1C=CC2=NC(C(=O)O)=CN2C=1,[C][O][C][C][=C][C][=N][C][Branch1][=Branch1][C][=Branch1][C][=O][O][=C][N][Ring1][Branch2][C][=Ring1][N]
14878,12.20104849451732,-5.0974125899134926,-0.215669,-0.033067,CCO[C@H1](C)OCCCCCCCCCCCBr,[C][C][O][C@H1][Branch1][C][C][O][C][C][C][C][C][C][C][C][C][C][C][Br]
