file_name,ion_pot,elec_aff,homo_n,lumo_n,smiles,selfies
3963,12.33193449295874,-5.5929929274105135,-0.210016,-0.113985,COC(=O)/C(C#N)=C\C1=CC=C[NH1]1,[C][O][C][=Branch1][C][=O][/C][Branch1][Ring1][C][#N][=C][\C][=C][C][=C][NH1][Ring1][Branch1]
1255,11.303231889698573,-4.2522579776093625,-0.174101,-0.067761,CC1=NN(C)C2=NC=C(N)C=C12,[C][C][=N][N][Branch1][C][C][C][=N][C][=C][Branch1][C][N][C][=C][Ring1][O][Ring1][#Branch1]
27157,11.550807363660006,-4.735971325902308,-0.1981,-0.061986,C=C(C)C[C@@H1](NC(=O)OCC1C2=CC=CC=C2C3=CC=CC=C31)C(=O)O,[C][=C][Branch1][C][C][C][C@@H1][Branch2][Ring1][O][N][C][=Branch1][C][=O][O][C][C][C][=C][C][=C][C][=C][Ring1][=Branch1][C][=C][C][=C][C][=C][Ring1][=Branch1][Ring1][=N][C][=Branch1][C][=O][O]
2905,12.943654371665708,-6.754752150580918,-0.242706,-0.14435,O=C(NNC(=O)C1=CC=C([N+1](=O)[O-1])C=C1)C2=CC=C([N+1](=O)[O-1])C=C2,[O][=C][Branch2][Ring1][=Branch1][N][N][C][=Branch1][C][=O][C][=C][C][=C][Branch1][=Branch1][N+1][=Branch1][C][=O][O-1][C][=C][Ring1][=Branch2][C][=C][C][=C][Branch1][=Branch1][N+1][=Branch1][C][=O][O-1][C][=C][Ring1][=Branch2]
25930,12.584899105470022,-5.733567674507331,-0.221971,-0.094014,CC(=O)C1=CC(F)=CC=C1I,[C][C][=Branch1][C][=O][C][=C][C][Branch1][C][F][=C][C][=C][Ring1][#Branch1][I]
6548,12.340371535620392,-4.456187007569627,-0.210002,-0.06769,NC1=CC=C(S(N)(=O)=O)C=N1,[N][C][=C][C][=C][Branch1][=Branch2][S][Branch1][C][N][=Branch1][C][=O][=O][C][=N][Ring1][#Branch2]
32838,12.06715105471137,-6.146694056137767,-0.206571,-0.129069,O=C1C2=CC=CC=C2C3=NC4=CC=CC=C4N=C31,[O][=C][C][=C][C][=C][C][=C][Ring1][=Branch1][C][=N][C][=C][C][=C][C][=C][Ring1][=Branch1][N][=C][Ring1][#Branch2][Ring1][P]
1381,11.6180008465088,-4.092861653921094,-0.18966,-0.059867,CN1N=CC2=CC(CN)=CC=C21,[C][N][N][=C][C][=C][C][Branch1][Ring1][C][N][=C][C][=C][Ring1][Branch2][Ring1][O]
12740,12.05590556473298,-5.504627653898188,-0.203388,-0.115615,CC(C)OC1=CC(N)=C([N+1](=O)[O-1])C=C1Br,[C][C][Branch1][C][C][O][C][=C][C][Branch1][C][N][=C][Branch1][=Branch1][N+1][=Branch1][C][=O][O-1][C][=C][Ring1][#Branch2][Br]
22095,13.537745604033312,-5.860904270108183,-0.235837,-0.131806,O=CC1=CC(C(F)(F)F)=CN=C1Cl,[O][=C][C][=C][C][Branch1][=Branch2][C][Branch1][C][F][Branch1][C][F][F][=C][N][=C][Ring1][#Branch2][Cl]
18578,11.205336507659862,-5.315000181316031,-0.182144,-0.090883,CC1=C2C=CC=CC2=CC3=C1C=CC4=C(Cl)C=CC=C43,[C][C][=C][C][=C][C][=C][C][Ring1][=Branch1][=C][C][=C][Ring1][#Branch2][C][=C][C][=C][Branch1][C][Cl][C][=C][C][=C][Ring1][#Branch1][Ring1][O]
12284,12.24862284638162,-6.680112377568287,-0.233272,-0.080203,CC[C@H1](Br)[C@H1](Br)C[C@@H1](Br)[C@H1](Br)C[C@H1](Br)[C@@H1](Br)CCCCCCCC(=O)O,[C][C][C@H1][Branch1][C][Br][C@H1][Branch1][C][Br][C][C@@H1][Branch1][C][Br][C@H1][Branch1][C][Br][C][C@H1][Branch1][C][Br][C@@H1][Branch1][C][Br][C][C][C][C][C][C][C][C][=Branch1][C][=O][O]
20480,13.80731926672028,-3.420338251489435,-0.24714,-0.042956,O=C(O)[C@@H1]1C[C@H1]1F,[O][=C][Branch1][C][O][C@@H1][C][C@H1][Ring1][Ring1][F]
30537,12.363210272139156,-4.093973223271227,-0.219698,-0.045257,N[C@@H1](CCOC(=O)CCC(=O)O)C(=O)O,[N][C@@H1][Branch1][#C][C][C][O][C][=Branch1][C][=O][C][C][C][=Branch1][C][=O][O][C][=Branch1][C][=O][O]
21291,13.918610896174368,-6.11845339190138,-0.267488,-0.136252,N#CC1=C(C(F)(F)F)C=C(Cl)N=C1Cl,[N][#C][C][=C][Branch1][=Branch2][C][Branch1][C][F][Branch1][C][F][F][C][=C][Branch1][C][Cl][N][=C][Ring1][O][Cl]
30708,11.345328667250095,-2.404389988149672,-0.172673,0.017748,CN1[C@@H1]2CC[C@H1]1C[C@H1](N)C2,[C][N][C@@H1][C][C][C@H1][Ring1][Branch1][C][C@H1][Branch1][C][N][C][Ring1][Branch2]
27964,12.34226242801004,-4.180996178149795,-0.205961,-0.071007,CC(=O)CC(=O)NC(C)(C)CC(C)(C)C,[C][C][=Branch1][C][=O][C][C][=Branch1][C][=O][N][C][Branch1][C][C][Branch1][C][C][C][C][Branch1][C][C][Branch1][C][C][C]
7464,11.713007780898463,-4.77913722363968,-0.194057,-0.070599,CCN1C2=CC=CC=C2S(=O)(=O)C3=CC=CC=C31,[C][C][N][C][=C][C][=C][C][=C][Ring1][=Branch1][S][=Branch1][C][=O][=Branch1][C][=O][C][=C][C][=C][C][=C][Ring1][=Branch1][Ring1][S]
27717,12.215787060558716,-4.78494894902066,-0.175971,-0.120434,O=N[C@@H1]1C[C@@H1]2CC[C@H1]1C2,[O][=N][C@@H1][C][C@@H1][C][C][C@H1][Ring1][=Branch1][C][Ring1][Branch1]
12654,11.915222245759027,-5.066668785781269,-0.200044,-0.041758,COC1=C(O)C=C(C)C=C1Br,[C][O][C][=C][Branch1][C][O][C][=C][Branch1][C][C][C][=C][Ring1][Branch2][Br]
5230,11.858893843091456,-5.542912714569871,-0.204362,-0.059309,NC1=NC=NC2=C1N=CN2[C@@H1]3O[C@H1](COP(=O)(O)O)[C@@H1](O)[C@H1]3O,[N][C][=N][C][=N][C][=C][Ring1][=Branch1][N][=C][N][Ring1][Branch1][C@@H1][O][C@H1][Branch1][O][C][O][P][=Branch1][C][=O][Branch1][C][O][O][C@@H1][Branch1][C][O][C@H1][Ring1][N][O]
